segment_id,segment_label,metric,period,value_krw,unit,source_name,source_url,note
national_all,전국 전체,monthly_clothing_footwear_spend_krw,2025_Q4,178000,KRW,"2025년 4/4분기 가계동향조사 결과","https://www.korea.kr/briefing/policyBriefingView.do?newsId=156746265","전국 1인 이상 가구 월평균 소비지출 중 의류·신발"
national_all,전국 전체,annualized_clothing_footwear_spend_krw,2025_Q4,2136000,KRW,"2025년 4/4분기 가계동향조사 결과","https://www.korea.kr/briefing/policyBriefingView.do?newsId=156746265","월평균 의류·신발 지출 178,000원을 12개월로 환산"
national_all,전국 전체,monthly_household_income_krw,2025_Q4,5422000,KRW,"2025년 4/4분기 가계동향조사 결과","https://www.korea.kr/briefing/policyBriefingView.do?newsId=156746265","전국 1인 이상 가구 월평균 소득"
national_all,전국 전체,monthly_disposable_income_krw,2025_Q4,4349000,KRW,"2025년 4/4분기 가계동향조사 결과","https://www.korea.kr/briefing/policyBriefingView.do?newsId=156746265","전국 1인 이상 가구 월평균 처분가능소득"
national_all,전국 전체,household_assets_krw,2025,566780000,KRW,"2025년 가계금융복지조사 결과","https://www.korea.kr/news/policyNewsView.do?newsId=156733201","2025년 3월 말 기준 가구 평균 자산"
national_all,전국 전체,household_debt_krw,2025,95340000,KRW,"2025년 가계금융복지조사 결과","https://www.korea.kr/news/policyNewsView.do?newsId=156733201","2025년 3월 말 기준 가구 평균 부채"
national_all,전국 전체,household_net_assets_krw,2025,471440000,KRW,"2025년 가계금융복지조사 결과","https://www.korea.kr/news/policyNewsView.do?newsId=156733201","2025년 3월 말 기준 가구 평균 순자산"
national_all,전국 전체,annual_household_income_krw,2024,74270000,KRW,"2025년 가계금융복지조사 결과","https://www.korea.kr/news/policyNewsView.do?newsId=156733201","2024년 가구 평균 소득"
national_all,전국 전체,annual_disposable_income_krw,2024,60320000,KRW,"2025년 가계금융복지조사 결과","https://www.korea.kr/news/policyNewsView.do?newsId=156733201","2024년 가구 평균 처분가능소득"
income_q1,소득 1분위,monthly_household_income_krw,2025_Q4,1269000,KRW,"2025년 4/4분기 가계동향조사 결과","https://www.korea.kr/briefing/policyBriefingView.do?newsId=156746265","2025년 4분기 소득 1분위 가구 월평균 소득"
income_q1,소득 1분위,monthly_disposable_income_krw,2025_Q4,1061000,KRW,"2025년 4/4분기 가계동향조사 결과","https://www.korea.kr/briefing/policyBriefingView.do?newsId=156746265","2025년 4분기 소득 1분위 가구 월평균 처분가능소득"
income_q5,소득 5분위,monthly_household_income_krw,2025_Q4,11877000,KRW,"2025년 4/4분기 가계동향조사 결과","https://www.korea.kr/briefing/policyBriefingView.do?newsId=156746265","2025년 4분기 소득 5분위 가구 월평균 소득"
income_q5,소득 5분위,monthly_disposable_income_krw,2025_Q4,9361000,KRW,"2025년 4/4분기 가계동향조사 결과","https://www.korea.kr/briefing/policyBriefingView.do?newsId=156746265","2025년 4분기 소득 5분위 가구 월평균 처분가능소득"
