region_label,period,total,male,female,age_0-9,age_10-19,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80-89,age_90-99,age_100+,source_name,source_url,unit
전국,2026-04,51097986,25423432,25674554,2910022,4622171,5591091,6686964,7520473,8616970,7973368,4646121,2139521,382260,9025,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
서울특별시,2026-04,9298673,4477462,4821211,455648,719027,1239522,1467418,1357334,1464286,1318622,845655,371689,58015,1457,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
부산광역시,2026-04,3235361,1571952,1663409,166618,266138,332238,388058,456410,525494,551990,373190,152894,21856,475,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
대구광역시,2026-04,2349360,1150292,1199068,131987,212646,248823,285394,332593,409460,381795,228635,101182,16543,302,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
인천광역시,2026-04,3057226,1526524,1530702,187255,276020,332664,432537,472438,514812,477895,241702,102375,18965,563,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
광주광역시,2026-04,1386567,683873,702694,84211,143130,166820,173547,210330,240115,195915,112022,51635,8647,195,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
대전광역시,2026-04,1441687,718049,723638,85548,136091,185839,196022,207001,242204,209204,118820,51604,9149,205,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
울산광역시,2026-04,1088041,561115,526926,65742,108829,107742,136803,167342,196401,181342,88946,30169,4624,101,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
세종특별자치시,2026-04,391024,194741,196283,37636,54046,36284,57159,75691,59961,39716,20309,8324,1864,34,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
경기도,2026-04,13751098,6903574,6847524,877674,1325139,1534525,1932298,2169232,2360316,1989893,1019142,458470,82307,2102,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
강원특별자치도,2026-04,1507199,758166,749033,79491,124906,145742,158987,192531,255636,281642,164441,87854,15511,458,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
충청북도,2026-04,1599375,815479,783896,91906,143271,165341,194130,219687,270612,272049,152140,75393,14524,322,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
충청남도,2026-04,2137689,1098060,1039629,124077,202636,209401,252015,311075,353875,342169,209658,108250,24061,472,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
전북특별자치도,2026-04,1720203,857466,862737,85902,158552,168972,172751,223943,297192,293723,194981,102575,21152,460,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
전라남도,2026-04,1775031,897139,877892,93823,154474,155571,170486,224951,301111,321115,208254,121293,23379,574,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
경상북도,2026-04,2498364,1265190,1233174,125076,215020,214926,251287,328730,430699,464001,294115,144995,28927,588,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
경상남도,2026-04,3197859,1612989,1584870,174090,312422,282426,341228,469541,576289,552545,319495,142853,26455,515,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
제주특별자치도,2026-04,663229,331361,331868,43338,69824,64255,76844,101644,118507,99752,54616,27966,6281,202,MOIS resident registration population,https://jumin.mois.go.kr/agePpltStus.do,persons
